Fund Name,What is the 1-month performance figure?,What is the 3-month performance figure?,What is the 6-month performance figure?,What is the 1-year performance figure?,What is the 3-year performance figure?,What is the 5-year performance figure?,What are the top 10 holdings of the fund_ along with their weights?,What is the asset allocation breakdown for the fund?,What is the geographic allocation of the fund’s investments?,What is the sector breakdown of the fund?,What is the credit quality of the bonds held in the fund?,What is the duration of the bonds held in the fund?,How is the performance of the fund measured against its benchmark?,What is the cumulative performance of the fund for the last month?,What is the quartile ranking of the fund compared to its peers?,Are there any risk warnings specific to this fund?,What is the market capitalisation of the equities held by the fund?,What types of fixed interest assets does the fund hold?,What percentage of the fund is allocated to cash/money market investments?,What are the regulated frameworks under which the fund operates?
Aviva_Pension_MyM_My_Future_Focus_Cash_Lump_Sum_S4_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,6.55%,NA,NA,"<5% Treasury Stock 2025,3.1%>,<0.5% Treasury Gilt 2025,3.7%>,<1% Treasury Gilt 2026,3.1%>,<11% Treasury Gilt 2026,3.6%>,<4.1% Treasury Gilt 2028,3.3%>,<3.1% Treasury Gilt 2025,2%>,<1.4% Treasury Gilt 2027,3.1%>,<5% Treasury Stock 2025,3.1%>,<0.1% Treasury Gilt 2025,3.0%>,<4.1% Treasury Gilt 2027,2.9%>","<UK Gilts,49.6%>,<International Bonds,18.8%>,<UK Corporate Bonds,6.5%>,<Money Market,0.2%>,<Other,3.8%>,<Cash/Money Market,21.0%>","<UK,56.2%>,<North America,5.4%>,<Developed Europe,10.0%>,<Emerging Asia,0.1%>,<Japan,0.1%>,<Australia & New Zealand,0.4%>,<South & Central America,0.1%>,<Middle East & Africa,0.2%>","<Government bonds,49.6%>,<Other,29.2%>,<Cash/Money Market,21.2%>","<AAA,8.4%>,<AA,53.0%>,<A,6.4%>,<BBB,5.8%>,<BB,0.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,21.2%>,<Not Rated,1.3%>,<Non Debt,3.8%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,"<Cash/Money Market,21.0%>",NA
Aviva_Pension_MyM_My_Future_Focus_Consolidation_(Pre-2024)_S4_[Unnamed_Life-Pension_fund_unit],10.20%,NA,NA,10.20%,NA,NA,"<1¼% Treasury Gilt 2026,1.3%>,<0.5% Treasury Gilt 2025,1.2%>,<0¼% Treasury Gilt 2025,1.2%>,<3⅓% Treasury Gilt 2025,1.1%>,<1⅓% Treasury Gilt 2027,1.1%>,<4¼% Treasury Gilt 2028,1.1%>,<2% Treasury Gilt 2025,1.0%>,<0⅛% Treasury Gilt 2026,1.0%>,<5% Treasury Stock 2025,1.0%>,<1⅝% Treasury Gilt 2028,1.0%>","<International Bonds,36.3%>,<International Equities,23.1%>,<UK Gilts,18.1%>,<UK Corporate Bonds,5.4%>,<Property,2.8%>,<UK Equities,1.0%>,<Managed Funds,0.5%>,<Money Market,0.1%>,<Alternative Trading,0.0%>,<Strategies,2.4%>,<Cash/Money Market,10.3%>","<North America,28.2%>,<UK,24.5%>,<Dev. Europe,16.2%>,<Emerging Europe,0.5%>,<Emerging Asia,4.3%>,<Japan,0.6%>,<Australia & New Zealand,1.3%>,<South & Central America,1.5%>","<Government bonds,18.1%>,<Technology,6.3%>,<Financials,3.7%>,<Consumer Discretionary,3.2%>,<Industrials,3.1%>,<Health Care,2.6%>,<Property,2.6%>,<Consumer Staples,1.3%>,<Energy,1.1%>,<Basic Materials,0.9%>,<Utilities,0.8%>,<Telecommunications,0.7%>,<Other,45.2%>,<Cash/Money Market,10.4%>","<AAA,11.6%>,<AA,21.6%>,<A,7.9%>,<BBB,8.9%>,<BB,1.2%>,<B,0.7%>,<Less than CCC,0.2%>,<Cash/Money Market,10.4%>,<Not Rated,7.8%>,<Non Debt,29.8%>",NA,NA,NA,NA,Yes,NA,NA,10.30%,NA
Aviva_Pension_MyM_My_Future_Focus_Consolidation_S4_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,NA,NA,NA,"<APPLE,1.4%>,<MICROSOFT CORPORATION,1.3%>,<NVIDIA CORPORATION,1.3%>,<1% Treasury Gilt 2026,1.1%>,<0.1% Treasury Gilt 2025,1.0%>,<0.5% Treasury Gilt 2025,1.0%>,<3.1% Treasury Gilt 2025,0.9%>,<1.4% Treasury Gilt 2027,0.9%>,<4.1% Treasury Gilt 2028,0.8%>,<0.1% Treasury Gilt 2026,0.8%>","<International Equities,34.2%>,<International Bonds,33.6%>,<UK Gilts,14.8%>,<UK Corporate Bonds,4.4%>,<Property,2.9%>,<UK Equities,1.2%>,<Managed Funds,0.5%>,<Money Market,0.1%>,<Other,2.0%>,<Cash/Money Market,6.4%>","<North America,35.1%>,<UK,20.4%>,<Dev. Europe,16.3%>,<Emerging Europe,0.5%>,<Japan,4.2%>,<Middle East & Africa,1.2%>,<Emerging Asia,4.8%>,<Developed Asia,0.8%>,<Australia & New Zealand,1.6%>,<Cash/Money Market,6.5%>","<Government bonds,14.8%>,<Technology,9.4%>,<Financials,5.4%>,<Consumer Discretionary,4.8%>,<Industrials,4.6%>,<Health Care,3.9%>,<Property,2.5%>,<Consumer Staples,1.9%>,<Energy,1.6%>,<Basic Materials,1.3%>,<Utilities,1.1%>,<Telecommunications,1.0%>,<Other,4.1%>,<Cash/Money Market,6.5%>","<AAA,10.1%>,<AA,17.7%>,<A,7.1%>,<BBB,8.4%>,<BB,1.2%>,<B,0.7%>,<Less than CCC,0.2%>,<Cash/Money Market,6.5%>,<Not Rated,7.4%>,<Non Debt,40.8%>",NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,0.10%,NA
Aviva_Pension_MyM_My_Future_Focus_Drawdown_S4_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,13.65%,NA,NA,"<APPLE,2.0%>,<MICROSOFT CORPORATION,1.8%>,<NVIDIA CORPORATION,1.8%>,<AMAZON.COM,1.0%>,<META PLATFORMS,0.7%>,<ALPHABET INC,0.6%>,<ALPHABET INC,0.5%>,<BROADCOM INC,0.5%>,<0% Treasury Gilt 2025,0.4%>,<ELI LILLY AND COMPANY,0.4%>","<International Equities,47.7%>,<International Bonds,31.8%>,<Property,5.2%>,<UK Gilts,3.5%>,<UK Corporate Bonds,1.9%>,<UK Equities,1.7%>,<Managed Funds,0.6%>,<Cash/Money Market,6.6%>","<North America,46.2%>,<UK,7.1%>,<Dev. Europe,15.3%>,<Middle East & Africa,1.4%>,<Emerging Europe,0.6%>,<Emerging Asia,5.4%>,<Developed Asia,1.1%>,<Japan,4.8%>,<Australia & New Zealand,1.9%>","<Technology,13.0%>,<Financials,7.5%>,<Consumer Discretionary,6.6%>,<Industrials,6.4%>,<Health Care,5.4%>,<Property,4.7%>,<Government bonds,3.5%>,<Consumer Staples,2.7%>,<Energy,2.2%>,<Basic Materials,1.8%>,<Utilities,1.6%>,<Telecommunications,1.4%>,<Other,36.5%>,<Cash/Money Market,6.6%>","<AAA,7.1%>,<AA,5.1%>,<A,6.2%>,<BBB,8.9%>,<BB,1.6%>,<B,0.8%>,<Less than CCC,0.2%>,<Cash/Money Market,6.6%>,<Not Rated,7.3%>,<Non Debt,56.2%>",NA,NA,NA,NA,Yes,NA,NA,NA,NA
Aviva_Pension_MyM_My_Future_Focus_Growth_S4_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,16.16%,NA,NA,"<APPLE,3.0%>,<MICROSOFT CORPORATION,2.7%>,<NVIDIA CORPORATION,2.7%>,<AMAZON.COM,1.5%>,<META PLATFORMS,1.1%>,<ALPHABET INC,0.9%>,<ALPHABET INC,0.8%>,<BROADCOM,0.7%>,<ELI LILLY AND COMPANY,0.7%>,<TESLA,0.6%>","<International Equities,71.6%>,<International Bonds,11.6%>,<Property,7.3%>,<UK Equities,2.6%>,<UK Corporate Bonds,0.8%>,<Managed Funds,0.3%>,<UK Gilts,0.3%>,<Alternative Trading Strategies,0.2%>,<Cash/Money Market,4.8%>","<North America,50.4%>,<UK,3.7%>,<Developed Europe,14.4%>,<Emerging Europe,0.4%>,<Japan,4.7%>,<Middle East & Africa,1.2%>,<Emerging Asia,5.7%>,<Developed Asia,1.5%>,<Australia & New Zealand,2.5%>,<Cash/Money Market,4.8%>","<Technology,19.6%>,<Financials,11.3%>,<Consumer Discretionary,10.0%>,<Industrials,9.7%>,<Health Care,8.1%>,<Property,6.6%>,<Consumer Staples,4.0%>,<Energy,3.3%>,<Basic Materials,2.8%>,<Utilities,2.4%>,<Telecommunications,2.1%>,<Real Estate,1.7%>,<Other,13.8%>,<Cash/Money Market,4.8%>","<AAA,1.9%>,<AA,0.7%>,<A,1.9%>,<BBB,3.1%>,<BB,1.0%>,<B,0.7%>,<Less than CCC,0.2%>,<Cash/Money Market,4.8%>,<Not Rated,3.0%>,<Non Debt,82.6%>",NA,NA,NA,NA,"<General,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,Yes>,<Smaller Companies,No>,<Fixed Interest,Yes>,<Derivatives,Yes>,<Cash/Money Market Funds,No>,<Property Funds,No>,<High Yield Bonds,No>,<Reinsured Funds,No>,<Long Term Asset Funds,No>",NA,NA,4.80%,NA
Aviva_Pension_MyM_My_Future_Focus_Long_Term_Growth_S4_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,NA,NA,NA,"<APPLE,3.5%>,<MICROSOFT CORPORATION,3.2%>,<NVIDIA CORPORATION,3.2%>,<AMAZON.COM,1.8%>,<META PLATFORMS,1.3%>,<ALPHABET INC,1.0%>,<ALPHABET INC,0.9%>,<BROADCOM,0.8%>,<ELI LILLY AND COMPANY,0.8%>,<TESLA,0.8%>","<International Equities,85.1%>,<Property,7.4%>,<UK Equities,2.6%>,<International Bonds,1.2%>,<Managed Funds,0.2%>,<UK Corporate Bonds,0.1%>,<Cash/Money Market,3.0%>","<North America,53.5%>,<UK,2.7%>,<Dev. Europe,14.5%>,<Emerging Europe,0.2%>,<Emerging Asia,6.3%>,<Japan,4.8%>,<South & Central America,1.0%>,<Middle East & Africa,0.9%>,<Australia & New Zealand,2.9%>","<Technology,23.2%>,<Financials,13.4%>,<Consumer Discretionary,11.8%>,<Industrials,11.4%>,<Health Care,9.5%>,<Property,6.6%>,<Consumer Staples,4.7%>,<Energy,3.8%>,<Basic Materials,3.3%>,<Utilities,2.8%>,<Telecommunications,2.6%>,<Real Estate,2.1%>,<Other,2.0%>,<Cash/Money Market,3.0%>","<AAA,0.0%>,<AA,0.0%>,<A,0.0%>,<BBB,0.1%>,<BB,0.4%>,<B,0.4%>,<Less than CCC,0.2%>,<Cash/Money Market,3.0%>,<Not Rated,0.3%>,<Non Debt,95.7%>",NA,NA,NA,NA,"<General,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,Yes>,<Smaller Companies,No>,<Fixed Interest,No>,<Derivatives,Yes>,<Cash/Money Market Funds,No>,<Property Funds,No>,<High Yield Bonds,No>,<Reinsured Funds,No>,<Long Term Asset Funds,No>",NA,NA,"<Cash/Money Market,3.0%>",NA
Aviva_Pension_MyM_My_Future_Growth_[Unnamed_Life-Pension_fund_unit],18.85%,8.51%,-5.31%,18.85%,53.40%,143.59%,"<MICROSOFT CORPORATION,4.1%>,<NVIDIA CORPORATION,3.4%>,<APPLE,3.4%>,<AMAZON.COM,1.3%>,<JOHNSON & JOHNSON,1.2%>,<ALPHABET INC,1.1%>,<META PLATFORMS,1.0%>,<PEPSICO,1.0%>,<ALPHABET INC,0.9%>,<INTERNATIONAL BUSINESS MACHINES CORPORATION,0.9%>","<International Equities,70.2%>,<International Bonds,17.7%>,<UK Equities,4.6%>,<UK Corporate Bonds,3.1%>,<Managed Funds,1.5%>,<Property,1.1%>,<Investment Trusts,0.2%>,<Alternative Trading,0.2%>,<Strategies,0.1%>,<Money Market,0.1%>,<UK Gilts,0.0%>,<Other,0.8%>,<Cash/Money Market,0.5%>","<North America,57.8%>,<UK,7.7%>,<Developed Europe,19.0%>,<Emerging Asia,1.3%>,<Middle East & Africa,0.1%>,<Developed Asia,0.7%>,<Japan,5.9%>,<Australia & New Zealand,2.1%>,<South & Central America,0.1%>","<Technology,21.2%>,<Industrials,10.6%>,<Financials,10.3%>,<Consumer Discretionary,9.6%>,<Health Care,9.4%>,<Consumer Staples,4.0%>,<Energy,3.2%>,<Basic Materials,2.3%>,<Telecommunications,2.0%>,<Real Estate,2.0%>,<Managed Funds,1.5%>,<Utilities,1.4%>,<Other,2.1%>,<Cash/Money Market,0.6%>","<AAA,8.4%>,<AA,1.8%>,<A,3.9%>,<BBB,3.6%>,<BB,0.1%>,<B,0.0%>,<Less than CCC,0.0%>,<Cash/Money Market,0.6%>,<Not Rated,3.1%>,<Non Debt,78.6%>",NA,NA,NA,NA,Yes,NA,NA,"<Cash/Money Market,0.5%>",NA
Aviva_Pension_MyM_Natural_Capital_Transition_Global_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,25.39%,25.23%,70.21%,"<MICROSOFT CORPORATION,6.3%>,<WASTE MANAGEMENT,4.1%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,4.0%>,<MUNCHENER RUCKVERSICHERUNGS AG,3.7%>,<ALPHABET INC,3.7%>,<VISA,3.6%>,<SHERWIN-WILLIAMS COMPANY (THE),3.1%>,<AXA,3.1%>,<NOVARTIS AG,3.1%>,<TETRA TECH,3.0%>","<North American Equities,58.9%>,<Developed Europe Equities,31.3%>,<UK Equities,4.7%>,<Emerging Asia Equities,2.5%>,<Japan Equities,1.5%>,<Cash/Money Market,1.5%>","<North America,58.5%>,<UK,4.7%>,<Developed Europe,31.3%>,<Emerging Asia,2.5%>,<Japan,1.5%>","<Industrials,29.2%>,<Technology,23.6%>,<Health Care,12.6%>,<Financials,11.1%>,<Utilities,8.4%>,<Consumer Discretionary,6.3%>,<Consumer Staples,4.3%>,<Basic Materials,3.1%>,<Cash/Money Market,1.5%>",NA,NA,NA,NA,1,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,No>,<F - Derivatives,No>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),21.8%>,<Large (3bn-50bn),39.0%>,<Medium (1bn-3bn),6.7%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,30.9%>,<Cash/Money Market,1.5%>",NA,1.50%,NA
Aviva_Pension_MyM_Ninety_One_Global_Income_Opportunities_[Unnamed_Life-Pension_fund_unit],12.89%,4.56%,3.99%,13.11%,0.90%,2.09%,"<UNITED STATES TREASURY NOTE/BO 10/24 4.375,5.8%>,<UNITED STATES TREASURY NOTE/BO 07/25 4.75,4.5%>,<UNITED STATES TREASURY NOTE/BO 10/28 4.875,3.2%>,<41% Treasury Stock 2032,2.9%>,<UNITED STATES TREASURY NOTE/BO 10/30 4.875,2.3%>,<UNITED KINGDOM TREASURY BILL BILLS 09/24 0.00000,2.0%>,<UNITED STATES TREASURY NOTE/BO 05/32 2.875,1.8%>,<NEW ZEALAND LOCAL GOVERNMENT LOCAL GOVT G 04/33 3.5,1.4%>,<UNILEVER,1.3%>,<PERUVIAN GOVERNMENT INTERNATIO SR UNSECURED REGS 08/31 6.95,1.2%>","<International Bonds,54.1%>,<International Equities,21.6%>,<UK Equities,6.5%>,<UK Gilts,3.2%>,<Alternative Trading Strategies,2.6%>,<UK Corporate Bonds,2.4%>,<Investment Trusts,2.1%>,<Property,0.2%>,<Managed Funds,0.1%>,<Other,4.2%>,<Cash/Money Market,3.0%>","<North America,33.5%>,<UK,12.1%>,<Dev. Europe,11.1%>,<South & Central America,11.3%>,<Emerging Europe,1.4%>,<Middle East & Africa,3.1%>,<Emerging Asia,4.8%>,<Australia & New Zealand,6.8%>","<Financials,7.2%>,<Consumer Staples,5.9%>,<Health Care,4.4%>,<Basic Materials,4.2%>,<Government bonds,3.2%>,<Industrials,3.1%>,<Alternative Trading Strategies,2.6%>,<Utilities,2.3%>,<Telecommunications,1.5%>,<Technology,0.8%>,<Consumer Discretionary,0.6%>,<Real Estate,0.5%>,<Other,0.9%>,<Cash/Money Market,3.0%>","<AAA,20.3%>,<AA,12.0%>,<A,1.5%>,<BBB,10.0%>,<BB,4.5%>,<B,0.3%>,<Less than CCC,0.1%>,<Cash/Money Market,3.0%>,<Not Rated,10.8%>,<Non Debt,37.4%>",NA,NA,NA,2,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,Yes>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,"<International Bonds,54.1%>,<International Equities,21.6%>",3.00%,NA
Aviva_Pension_MyM_Ninety_One_Global_Total_Return_Credit_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,11.29%,23.88%,34.54%,"<CIMPRESS PLC COMPANY GUAR 06/26 7,1.4%>,<BNP PARIBAS SA SUBORDINATED REGS 05/31 VAR,1.4%>,<OPEN TEXT CORP SR SECURED 144A 12/27 6.9,1.2%>,<CPUKE FINANCE LTD SECURED REGS 08/26 6.5,1.0%>,<MILEAGE PLUS HOLDINGS LLC / MI SR SECURED 144A 06/27 6.5,1.0%>,<JAGUAR LAND ROVER AUTOMOTIVE P COMPANY GUAR REGS 11/24 5.875,1.0%>,<PRIME HEALTHCARE SERVICES INC SR SECURED 144A 11/25 7.25,1.0%>,<TEAMSYSTEM SPA SR SECURED REGS 02/28 VAR,0.9%>,<MULTIVERSITY SPA SR SECURED REGS 10/28 VAR,0.9%>,<SKANDINAVISKA ENSKILDA BANKEN JR SUBORDINA REGS 12/99 VAR,0.9%>","<International Bonds,67.4%>,<UK Corporate Bonds,12.8%>,<Alternative Trading Strategies,1.8%>,<Managed Funds,1.5%>,<Other,12.6%>,<Cash/Money Market,3.8%>","<North America,21.1%>,<UK,12.8%>,<Dev. Europe,43.0%>",NA,"<AAA,0.0%>,<AA,1.9%>,<A,10.4%>,<BBB,18.0%>,<BB,0.9%>,<B,8.3%>,<Less than CCC,2.9%>,<Cash/Money Market,3.8%>,<Not Rated,29.8%>,<Non Debt,15.9%>",NA,NA,NA,3,Yes,NA,NA,3.80%,NA
Aviva_Pension_MyM_Nordea_Global_Diversity_Engagement_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,28.01%,NA,NA,"<NVIDIA CORPORATION,6.4%>,<MICROSOFT CORPORATION,6.2%>,<APPLE,3.8%>,<ELI LILLY AND COMPANY,2.7%>,<NOVO NORDISK A/S,2.6%>,<MERCK & CO INC(NEW),2.0%>,<LAM RESEARCH CORPORATION,2.0%>,<ABBVIE,1.8%>,<CITIGROUP,1.7%>,<THE HOME DEPOT,1.7%>","<North American Equities,66.0%>,<Developed Europe Equities,16.8%>,<Japan Equities,3.0%>,<UK Equities,3.0%>,<Emerging Asia Equities,2.5%>,<Developed Asia Equities (ex Japan),2.3%>,<Non-Classified Equities,1.4%>,<Middle East & Africa Equities,1.1%>,<Real Estate Investment Trusts,0.7%>,<South & Central America Equities,0.4%>,<Cash/Money Market,3.1%>","<North America,66.0%>,<Developed Europe,16.8%>,<Japan,3.0%>,<UK,3.0%>,<Emerging Asia,2.5%>,<Developed Asia,2.3%>,<Middle East & Africa,1.1%>,<South & Central America,0.4%>,<Cash/Money Market,3.1%>","<Technology,24.8%>,<Health Care,14.8%>,<Industrials,14.4%>,<Consumer Discretionary,14.2%>,<Financials,11.7%>,<Telecommunications,4.2%>,<Consumer Staples,4.1%>,<Basic Materials,4.0%>,<Utilities,2.9%>,<Real Estate,1.8%>,<Cash/Money Market,3.1%>",NA,NA,NA,NA,NA,"<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,Yes>,<D - Smaller Companies,No>,<E - Fixed Interest,No>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,No>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>","<Mega (Greater than 50bn),31.7%>,<Large (3bn-50bn),36.2%>,<Medium (1bn-3bn),5.0%>,<Small (50m-1bn),0.9%>,<Micro (Less than 50m),0.0%>,<Other,23.1%>,<Cash/Money Market,3.1%>",NA,3.10%,NA
Aviva_Pension_MyM_Schroder_Life_Intermediated_Diversified_Growth_[Unnamed_Life-Pension_fund_unit],12.92%,0.53%,17.83%,12.92%,NA,NA,"<Schroder Global Equity Fund,10.4%>,<Schroder All Maturities Corporate Bond Fund,6.9%>,<iShares Core Euro Corporate Bond ETF,4.4%>,<Schroder ISF Emerging Markets Local Currency Bond,4.4%>,<German 10 Year Bond Future,4.4%>,<Schroder ISF QEP Global Active Value,4.3%>,<US 30 Year Bond Future,4.2%>,<Inflation-Linked US Treasury,4.0%>,<Schroder Investment Fund Flexible Cat Bond,3.8%>,<S&P 500 Index Future,3.4%>","<Fixed Income,39.0%>,<Equities,32.6%>,<Alternatives,19.2%>,<Commodities,3.0%>,<Cash,6.2%>,<Property,0.0%>",NA,NA,NA,NA,NA,12.92%,NA,"<A - General, Yes>,<B - Foreign Exchange Risk, Yes>,<C - Emerging Markets, Yes>,<D - Smaller Companies, Yes>,<E - Fixed Interest, Yes>,<F - Derivatives, Yes>,<G - Cash/Money Market Funds, No>,<H - Property Funds, No>,<I - High Yield Bonds, No>,<J - Reinsured Funds, Yes>,<K - Long Term Asset Funds, No>",NA,NA,NA,NA
Aviva_Pension_MyM_Schroder_Sustainable_Future_Multi_Asset_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,12.70%,0.69%,14.54%,"<0 7/8% Green Gilt 2033,5.7%>,<United Kingdom Treasury Bill,3.2%>,<United Kingdom Treasury Bill,3.1%>,<MICROSOFT CORPORATION,1.7%>,<ALPHABET INC,0.9%>,<APPLE,0.9%>,<NVIDIA CORPORATION,0.7%>,<SAP SE,0.6%>,<UNILEVER,0.6%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,0.6%>","<International Equities,36.0%>,<International Bonds,27.1%>,<Managed Funds,10.4%>,<UK Corporate Bonds,8.3%>,<UK Gilts,5.7%>,<UK Equities,4.2%>,<Commodities,0.8%>,<Alternative Trading,0.7%>,<Strategies,0.3%>,<Property,0.3%>,<Other,0.7%>,<Cash/Money Market,5.8%>","<North America,35.8%>,<UK,18.2%>,<Developed Europe,16.6%>,<Emerging Europe,1.1%>,<Middle East & Africa,0.6%>,<South & Central America,1.1%>,<Emerging Asia,3.1%>,<Developed Asia,0.8%>,<Japan,3.5%>,<Australia & New Zealand,0.4%>","<Technology,10.9%>,<Managed Funds,10.4%>,<Industrials,6.4%>,<Government bonds,5.7%>,<Consumer Discretionary,5.4%>,<Health Care,5.0%>,<Financials,4.5%>,<Consumer Staples,2.7%>,<Basic Materials,2.4%>,<Energy,1.1%>,<Telecommunications,1.0%>,<Commodities,0.8%>,<Other,3.8%>,<Cash/Money Market,5.8%>","<AAA,0.5%>,<AA,6.9%>,<A,4.6%>,<BBB,8.6%>,<BB,3.2%>,<B,2.3%>,<Less than CCC,1.0%>,<Cash/Money Market,5.8%>,<Not Rated,14.0%>,<Non Debt,53.1%>",NA,NA,NA,4,Yes,NA,NA,5.80%,NA
Aviva_Pension_MyM_Schroder_Tokyo_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,11.96%,19.32%,29.88%,"<HITACHI,5.2%>,<MITSUI SUMITOMO INSURANCE CO.,4.4%>,<TOYOTA MOTOR CORPORATION,3.9%>,<FUJIKURA LTD,2.9%>,<TOKIO MARINE HOLDINGS,2.9%>,<ORIX CORPORATION,2.7%>,<ASAHI GROUP HOLDINGS,2.4%>,<RECRUIT HOLDINGS CO.,2.4%>,<MITSUI & CO.,2.0%>,<TAKEDA PHARMACEUTICAL COMPANY LIMITED,2.0%>","<Japan Equities,96.7%>,<Other,1.8%>,<Cash/Money Market,1.5%>","<Japan,96.7%>,<Other,1.8%>,<Cash/Money Market,1.5%>","<Industrials,34.1%>,<Financials,15.2%>,<Technology,14.3%>,<Consumer Discretionary,10.6%>,<Basic Materials,7.4%>,<Consumer Staples,5.3%>,<Health Care,3.2%>,<Utilities,2.3%>,<Real Estate,1.8%>,<Telecommunications,1.6%>,<Other,2.6%>,<Cash/Money Market,1.5%>",NA,NA,NA,11.96%,2,Yes,"<Mega,17.5%>,<Large,42.2%>,<Medium,19.2%>,<Small,15.7%>,<Micro,0.0%>,<Other,3.9%>,<Cash/Money Market,1.5%>",NA,1.50%,NA
Aviva_Pension_MyM_Social_Transition_Global_Equity_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,27.95%,25.23%,70.21%,"<Microsoft Corporation,6.6%>,<Unilever,4.1%>,<Qiagen N.V.,4.1%>,<Halozyme Therapeutics Inc,4.1%>,<SAP SE,4.0%>,<Visa,3.9%>,<United Rentals,3.7%>,<Schneider Electric SE,3.5%>,<RELX,3.3%>,<NXP Semiconductors N.V.,3.3%>","<Developed Europe Equities,42.1%>,<North American Equities,38.8%>,<UK Equities,10.1%>,<Emerging Asia Equities,5.5%>,<South & Central America Equities,0.8%>,<Cash/Money Market,2.8%>","<North America,38.8%>,<UK,10.1%>,<Developed Europe,42.1%>,<Emerging Asia,5.5%>,<South & Central America,0.8%>,<Cash/Money Market,2.8%>","<Health Care,24.8%>,<Technology,17.1%>,<Industrials,16.2%>,<Consumer Discretionary,14.3%>,<Financials,9.5%>,<Consumer Staples,6.9%>,<Utilities,5.3%>,<Basic Materials,3.1%>,<Cash/Money Market,2.8%>",NA,NA,NA,NA,1,Yes,"<Mega (Greater than 50bn),41.4%>,<Large (3bn-50bn),32.0%>,<Medium (1bn-3bn),5.6%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,18.1%>,<Cash/Money Market,2.8%>","E - Fixed Interest, No; H - Property Funds, No; I - High Yield Bonds, No; J - Reinsured Funds, No; K - Long Term Asset Funds, No",2.80%,NA
